Departamento;Municipio;Solicitante;Solicitud;Estado Solicitud;Fecha Radicado;Latitud;Longitud;Direccion;Tipo Equipo;Estado Ubicacion
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000222;Aprobada;7/05/2018 0:00;10.985.675;-74.810.864;Calle 72 # 38-79;Radar doppler;Aprobada
ATLANTICO;PUERTO COLOMBIA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE PUERTO COLOMBIA;SOL0000000345;Aprobada;7/11/2018 0:00;10.993.316;-74.944.673;Via al mar - km 97+130;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000232;Aprobada;06/29/2018 12:00:00 AM;1.101.113;-7.481.144;Calle 84 # 59-34;Radar doppler;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000321;Aprobada;07/16/2018 12:00:00 AM;41.159.416;-73.628.172;CALLE 1 CARRERA 32;Laser (Lidar) / Infrarrojo;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000203;Aprobada;06/29/2018 12:00:00 AM;1.098.087;-748.004;Calle 61 entre carreras 34 y 35;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000255;Aprobada;7/06/2018 0:00;1.098.383;-747.775;Calle 34 con carrera 45;Video Detección (Con analítica de video);Aprobada
ATLANTICO;PUERTO COLOMBIA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE PUERTO COLOMBIA;SOL0000000342;Aprobada;7/11/2018 0:00;11.015.423;-74.867.812;Via al mar - km 106;Radar doppler;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.093.953;-765.178.873;CARRERA 46 CON CALLE 36;Lazo Inductivo de piso (espiras);Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000351;Aprobada;07/16/2018 12:00:00 AM;41.440.444;-736.042.916;CALLE 35 CARRERA 3;Laser (Lidar) / Infrarrojo;Aprobada
BOLIVAR;ARJONA;SECRETARIA MUNICIPAL DE TRANSPORTE Y TRANSITO DE ARJONA;SOL0000000367;Aprobada;07/18/2018 12:00:00 AM;10.248.456;-75.347.295;SIN DIRECCION;Radar doppler;Aprobada
VALLE DEL CAUCA;YUMBO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YUMBO;SOL0000001363;Aprobada;12/17/2018 12:00:00 AM;352.985;-76.495.667;SIN DIRECCION;Radar doppler;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;621.919;-75.599.256;Avenida 80 por Carrera 76;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.614;-755.564;Calle 67 por Carrera 45;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.412;-755.696;Carrera 46 por Calle 41;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.384;-755.734;Calle 37 por Carrera 51;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.19;-755.826;Carrera 49 por Calle 17 A Sur;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.069;-755.861;Carrera 52 por Calle 2 Sur;Lazo Inductivo de piso (espiras);Aprobada
MAGDALENA;CIENAGA;INSTITUTO DE TRANSITO Y TRANSPORTE MUNICIPAL DE CIENAGA;SOL0000001121;Aprobada;12/06/2018 0:00;110.219.464;-742.095.139;RUTA 9007 KM 66 + 890;Radar doppler;Aprobada
ATLANTICO;PUERTO COLOMBIA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE PUERTO COLOMBIA;SOL0000000346;Aprobada;7/11/2018 0:00;10.990.537;-74.944.119;Via al mar - km 97;Radar doppler;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000355;Aprobada;07/17/2018 12:00:00 AM;41.393.667;-73.630.375;CARRERA 33 CALLE 24;Laser (Lidar) / Infrarrojo;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000350;Aprobada;07/17/2018 12:00:00 AM;41.443.306;-736.365.028;CARRERA 36 CALLE 33;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;623.921;-7.557.325;Calle 38 por Carrera 52;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.459;-75.573;Calle 44 por Carrera 53;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.311;-755.699;Carrera 43A por Calle 31;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.220.488;-75.576.676;Avenida Regional por Calle 18;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;620.218;-7.558.008;Autopista Sur por Calle 4 Sur;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.213.157;-75.576.821;Calle 10 por Carrera 48;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.531;-755.623;Carrera 46 por Calle 57;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;61.887;-75.583;Avenida Regional por Calle 17A Sur;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.224;-755.796;Avenida Guayabal por Calle 20;Laser (Lidar) / Infrarrojo;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000353;Aprobada;07/17/2018 12:00:00 AM;41.184.194;-736.208.528;CALLE 1 CARRERA 26A;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.433;-756.025;Avenida 80 por Calle 35;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;61.965;-755.853;Avenida 80 por Calle 12 Sur;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.315;-755.873;Calle 30 por Carrera 66B;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.458;-75.573;Calle 44 por Carrera 53;Lazo Inductivo de piso (espiras);Aprobada
MAGDALENA;CIENAGA;INSTITUTO DE TRANSITO Y TRANSPORTE MUNICIPAL DE CIENAGA;SOL0000001121;Aprobada;12/06/2018 0:00;11.006.559;-74.255.791;RUTA 9007 KM 60 + 500;Radar doppler;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.493;-755.888;Calle 44 por Carrera 70;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;6.256;-755.811;Calle 50 por Carrera 65;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000201;Aprobada;07/26/2018 12:00:00 AM;62.579;-755.721;Calle 57B por Carrera 57;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.356.575;-765.281.992;CALLE 13 CON CARRERA 23;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.428.313;-765.309.674;CALLE 18 CON CARRERA 122;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.981.553;-765.468.447;CARRERA 66 CON CALLE 5;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.855.963;-765.444.215;CALLE 5 CON CARRERA 80;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.224.253;-76.538.248;CALLE 9 CON CARRERA 38;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.274.078;-7.653.311;CALLE 18 CON CARRERA 130;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.891.759;-765.055.641;CALLE 70 AVENIDA 2AN;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.748.252;-765.251.546;CALLE 25 CON CARRERA 95;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;33.933.259;-76.532.425;CALLE 14 CON CARRERA 70;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;34.152.051;-76.537.151;CALLE 10 CON CARRERA 44A;Laser (Lidar) / Infrarrojo;Aprobada
