Departamento;Municipio;Latitud;Longitud;Direccion
ATLANTICO;BARRANQUILLA;10.985.675;-74.810.864;Calle 72 # 38-79
ATLANTICO;BARRANQUILLA;10.985.675;-74.810.864;Calle 72 # 38-79
ATLANTICO;BARRANQUILLA;1.101.113;-7.481.144;Calle 84 # 59-34
META;VILLAVICENCIO;41.159.416;-73.628.172;CALLE 1 CARRERA 32
ATLANTICO;BARRANQUILLA;1.098.383;-747.775;Calle 34 con carrera 45
VALLE DEL CAUCA;CALI;34.093.953;-765.178.873;CARRERA 46 CON CALLE 36
META;VILLAVICENCIO;41.440.444;-736.042.916;CALLE 35 CARRERA 3
ANTIOQUIA;MEDELLIN;621.919;-75.599.256;Avenida 80 por Carrera 76
ANTIOQUIA;MEDELLIN;62.614;-755.564;Calle 67 por Carrera 45
ANTIOQUIA;MEDELLIN;62.412;-755.696;Carrera 46 por Calle 41
ANTIOQUIA;MEDELLIN;62.384;-755.734;Calle 37 por Carrera 51
ANTIOQUIA;MEDELLIN;6.19;-755.826;Carrera 49 por Calle 17 A Sur
ANTIOQUIA;MEDELLIN;62.069;-755.861;Carrera 52 por Calle 2 Sur
META;VILLAVICENCIO;41.393.667;-73.630.375;CARRERA 33 CALLE 24
META;VILLAVICENCIO;41.443.306;-736.365.028;CARRERA 36 CALLE 33
ANTIOQUIA;MEDELLIN;623.921;-7.557.325;Calle 38 por Carrera 52
ANTIOQUIA;MEDELLIN;62.459;-75.573;Calle 44 por Carrera 53
ANTIOQUIA;MEDELLIN;62.311;-755.699;Carrera 43A por Calle 31
ANTIOQUIA;MEDELLIN;6.220.488;-75.576.676;Avenida Regional por Calle 18
ANTIOQUIA;MEDELLIN;620.218;-7.558.008;Autopista Sur por Calle 4 Sur
ANTIOQUIA;MEDELLIN;6.213.157;-75.576.821;Calle 10 por Carrera 48
ANTIOQUIA;MEDELLIN;62.531;-755.623;Carrera 46 por Calle 57
ANTIOQUIA;MEDELLIN;61.887;-75.583;Avenida Regional por Calle 17A Sur
ANTIOQUIA;MEDELLIN;62.224;-755.796;Avenida Guayabal por Calle 20
META;VILLAVICENCIO;41.184.194;-736.208.528;CALLE 1 CARRERA 26A
ANTIOQUIA;MEDELLIN;62.433;-756.025;Avenida 80 por Calle 35
ANTIOQUIA;MEDELLIN;61.965;-755.853;Avenida 80 por Calle 12 Sur
ANTIOQUIA;MEDELLIN;62.315;-755.873;Calle 30 por Carrera 66B
ANTIOQUIA;MEDELLIN;62.458;-75.573;Calle 44 por Carrera 53
ANTIOQUIA;MEDELLIN;62.493;-755.888;Calle 44 por Carrera 70
ANTIOQUIA;MEDELLIN;6.256;-755.811;Calle 50 por Carrera 65
ANTIOQUIA;MEDELLIN;62.579;-755.721;Calle 57B por Carrera 57
VALLE DEL CAUCA;CALI;34.356.575;-765.281.992;CALLE 13 CON CARRERA 23
VALLE DEL CAUCA;CALI;33.428.313;-765.309.674;CALLE 18 CON CARRERA 122
VALLE DEL CAUCA;CALI;33.981.553;-765.468.447;CARRERA 66 CON CALLE 5
VALLE DEL CAUCA;CALI;33.855.963;-765.444.215;CALLE 5 CON CARRERA 80
VALLE DEL CAUCA;CALI;34.224.253;-76.538.248;CALLE 9 CON CARRERA 38
VALLE DEL CAUCA;CALI;33.274.078;-7.653.311;CALLE 18 CON CARRERA 130
VALLE DEL CAUCA;CALI;34.891.759;-765.055.641;CALLE 70 AVENIDA 2AN
VALLE DEL CAUCA;CALI;33.748.252;-765.251.546;CALLE 25 CON CARRERA 95
VALLE DEL CAUCA;CALI;33.933.259;-76.532.425;CALLE 14 CON CARRERA 70
VALLE DEL CAUCA;CALI;34.152.051;-76.537.151;CALLE 10 CON CARRERA 44A
VALLE DEL CAUCA;CALI;34.502.579;-764.875.828;CALLE 70 CON CARRERA 9
VALLE DEL CAUCA;CALI;34.358.454;-765.178.694;CARRERA 23 CON TRANSVERSAL 25E
VALLE DEL CAUCA;CALI;33.703.348;-765.371.272;CALLE 13 CON CARRERA 100
VALLE DEL CAUCA;CALI;34.560.002;-765.223.654;CARRERA 5 CON CALLE 23
VALLE DEL CAUCA;CALI;34.314.865;-765.376.072;CALLE 7 CON CARRERA 29
VALLE DEL CAUCA;CALI;33.307.345;-765.229.133;CALLE 36 CON CARRERA 128
VALLE DEL CAUCA;CALI;3.476.221;-765.182.469;AVENIDA 3N CON CALLE 40
ANTIOQUIA;MEDELLIN;6.245.184;-75.583.918;Avenida Bolivariana por Carrera 65
VALLE DEL CAUCA;CALI;34.839.147;-765.141.141;CALLE 52 AVENIDA 3N
VALLE DEL CAUCA;CALI;34.427.762;-76.531.974;CALLE 10 CON CARRERA 15
VALLE DEL CAUCA;CALI;34.149.691;-765.371.256;CALLE 10 CON CARRERA 45
VALLE DEL CAUCA;CALI;33.905.044;-765.240.686;CALLE 25 CON CARRERA 73
VALLE DEL CAUCA;CALI;33.802.098;-765.377.124;CALLE 13 CON CARRERA86
ANTIOQUIA;MEDELLIN;62.231;-75.592;Carrera 70 por Calle 19
VALLE DEL CAUCA;CALI;34.846.512;-765.260.089;AVENIDA 6N CON CALLE 47
VALLE DEL CAUCA;CALI;34.678.576;-765.293.658;AVENIDA 6N CON CALLE 26
VALLE DEL CAUCA;CALI;34.806.964;-764.894.095;CALLE 70 CON CARRERA 1A-12
VALLE DEL CAUCA;CALI;34.093.168;-76.534.435;CALLE 13 CON CARRERA 50
ANTIOQUIA;MEDELLIN;6.276.587;-75.573.367;Carrera 65 por Calle 80
VALLE DEL CAUCA;CALI;33.984.059;-765.378.339;CALLE 13 CON CARRERA 66
VALLE DEL CAUCA;CALI;34.359.883;-765.200.453;CALLE 23 CON CARRERA 23
VALLE DEL CAUCA;CALI;34.792.551;-76.488.393;CALLE 70 CON CARRERA 1B
VALLE DEL CAUCA;CALI;34.525.322;-76.537.772;AVENIDA 2 CON CALLE 6
VALLE DEL CAUCA;CALI;34.320.396;-7.653.883;CALLE 6 CON CARRERA 29
VALLE DEL CAUCA;CALI;33.873.908;-76.532.488;CALLE 14 CON CARRERA 80
VALLE DEL CAUCA;CALI;34.552.027;-76.484.845;CALLE 70 CON CARRERA 7MBIS
ANTIOQUIA;MEDELLIN;6.239.238;-75.589.314;Avenida 33 por Carrera 66B
ANTIOQUIA;MEDELLIN;6.279.144;-75.644.991;Km 7 +300 V¡a Tunel de Occidente O-E
ANTIOQUIA;MEDELLIN;62.693;-755.953;Avenida 80 por Calle 55
ATLANTICO;BARRANQUILLA;1.097.787;-7.483.612;Calle 110 # 31 - 15
Bogota D.C;Bogota D.C;4.675.763;-74.052.516;AK 15 X AC 92
Bogota D.C;Bogota D.C;4.760.406;-74.066.093;AV BOYACA X AV SAN JOSE
META;VILLAVICENCIO;413.706;-73.621.715;CARRERA 19 CALLE 21
ANTIOQUIA;MEDELLIN;6.264.378;-75.578.181;Carrera 65 por Calle 59A
ANTIOQUIA;BELLO;6.325.391;-75.557.602;Carrera 50 Calle 38
MAGDALENA;CIENAGA;110.707.153;-742.125.469;RUTA 9007 KM 72 + 700
MAGDALENA;SITIONUEVO;1.098.753;-74.710.505;Troncal Del Caribe - PR 8
META;VILLAVICENCIO;4.130.386;-73.623.706;CARRERA 22 CALLE 8C
VALLE DEL CAUCA;CALI;34.628.735;-76.521.979;CALLE 25 CON AVENIDA 2
META;VILLAVICENCIO;4.147.472;-73.618.595;CALLE 35 CARRERA 18
VALLE DEL CAUCA;CALI;3.486.059;-764.956.798;CALLE 70 CON CARRERA 1
VALLE DEL CAUCA;CALI;34.108.353;-765.417.392;CALLE 9 CON CARRERA 50
META;VILLAVICENCIO;4.130.386;-73.623.706;CARRERA 22 CALLE 8C
ANTIOQUIA;MEDELLIN;621.286;-75.596.122;Avenida 80 por Calle 2A
MAGDALENA;CIENAGA;11.006.559;-74.255.791;RUTA 9007 KM 60 + 500
VALLE DEL CAUCA;CALI;34.628.735;-76.521.979;CALLE 25 CON AVENIDA 2
META;VILLAVICENCIO;4.147.472;-73.618.595;CALLE 35 CARRERA 18
VALLE DEL CAUCA;CALI;3.486.059;-764.956.798;CALLE 70 CON CARRERA 1
VALLE DEL CAUCA;CALI;34.108.353;-765.417.392;CALLE 9 CON CARRERA 50
META;VILLAVICENCIO;4.130.386;-73.623.706;CARRERA 22 CALLE 8C
ANTIOQUIA;MEDELLIN;621.286;-75.596.122;Avenida 80 por Calle 2A
META;VILLAVICENCIO;413.706;-73.621.715;CARRERA 19 CALLE 21
ANTIOQUIA;MEDELLIN;6.195.575;-75.566.031;Carrera 32 por Calle 5 Sur
ANTIOQUIA;MEDELLIN;6.196.922;-75.578.398;Carrera 48 por Calle 10 Sur
ANTIOQUIA;MEDELLIN;6.231.349;-75.574.606;Avenida Industriales por Calle 29
ANTIOQUIA;MEDELLIN;6.277.143;-755.700.086;Avenida del Rio por Calle 77
ANTIOQUIA;MEDELLIN;6.204.535;-75.587.162;Avenida Guayabal por Calle 6 Sur
ANTIOQUIA;MEDELLIN;6.271.337;-75.575.589;Carrera 65 por Calle 72
ANTIOQUIA;MEDELLIN;6.215.575;-75.586.398;Carrera 65 por Calle 8B
CALDAS;LA DORADA;5.443.276;-74.677.861;CARRERA 6 CON VIA LA VARIANTE
CALDAS;LA DORADA;5.460.329;-74.669.611;KILOMETRO 1 VIA LA DORADA - HONDA
Bogota D.C;Bogota D.C;45.954.996;-741.508.546;KR 62 A X AV AUTOPISTA SUR (CALE45 A SUR)
Bogota D.C;Bogota D.C;4.685.905;-74.051.928;AK 19 X AC 100
Bogota D.C;Bogota D.C;46.825.983;-740.432.527;AK 11 X AC 100
Bogota D.C;Bogota D.C;47.176.777;-740.323.417;AK 9 X CL 140
ANTIOQUIA;MEDELLIN;6.276.113;-75.570.313;Avenida del Rio por Calle 77
ANTIOQUIA;MEDELLIN;6.225.806;-75.591.565;Carrera 70 por Calle 25
Bogota D.C;Bogota D.C;4.615.899;-7.408.575;KR 27 X AC 19
ANTIOQUIA;MEDELLIN;6.210.951;-75.576.402;Carrera 48 por Calle 9
META;VILLAVICENCIO;41.464;-736.144.861;CALLE 35 CARRERA 14
Bogota D.C;Bogota D.C;4.572.552;-74.091.717;KR 6 X AV PRIMERO DE MAYO (CL 20 SUR)
META;VILLAVICENCIO;41.385.972;-736.356.388;AVENIDA 40 CARRERA 37
Bogota D.C;Bogota D.C;461.713;-7.415.281;AV PRIMERO DE MAYO X CL 40 sur
Bogota D.C;Bogota D.C;46.652.661;-740.467.716;AK 7 X CL 85
Bogota D.C;Bogota D.C;4.605.396;-74.084.276;KR 18 X CL 12
Bogota D.C;Bogota D.C;4.604.502;-7.407.024;KR 5 X AC 19
Bogota D.C;Bogota D.C;4.633.688;-74.075.742;AK 24 X AC 45
Bogota D.C;Bogota D.C;467.153;-7.404.369;KR 7 X AC 92
Bogota D.C;Bogota D.C;4.637.768;-7.409.742;KR 50 X AV ESPERANZA (AC 24)
Bogota D.C;Bogota D.C;4.603.148;-74.100.475;AV QUITO X AC 3
ANTIOQUIA;MEDELLIN;62.098;-755.682;Calle 10 por Carrera 40
ANTIOQUIA;MEDELLIN;62.514;-755.719;Calle 50 por Carrera 55
Bogota D.C;Bogota D.C;4.710.749;-74.071.543;AV SUBA X AC 127
Bogota D.C;Bogota D.C;470.846;-7.411.061;AV CALLE 80 CON CARRERA 98
Bogota D.C;Bogota D.C;4.688.698;-74.065.012;AV SUBA X AC 100
Bogota D.C;Bogota D.C;46.880.079;-740.739.951;AK 68 X CL 98
Bogota D.C;Bogota D.C;4.647.979;-74.059.831;AK 7 X CL 63
Bogota D.C;Bogota D.C;4.639.412;-74.062.918;AK 7 X AC 53
Bogota D.C;Bogota D.C;46.313.959;-740.642.157;AK 7 X CL 45
Bogota D.C;Bogota D.C;460.875;-74.075.999;AV CARACAS X AC 19
